"","data_source","authority","operator","facility_name","facility_id1","facility_id2","address1","address2","street_addres","locality","postal_code","description","type_use","commodity","storage_capacity","berth_description","keywords","website","long_dd","lat_dd"
"143","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Department of Fisheries and Oceans","DFO Small Craft Harbour","Gilford Island",326,401,"Gilford Island, BC","Gilford Island, BC","","Gilford Island","","Port","Fishing","fish, non-core fishing harbour","moorage","wharf and floats","Gilford Island; Non-Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-126.601577,50.695734
"144","Department of Fisheries and Oceans Small Craft Harbours","Winter Harbour Authority ","DFO Small Craft Harbour","Sea Otter Cove - Mooring Buoys",327,333,"Cape Scott Park, BC","General Delivery, Winter Harbour, BC  V0N 3L0","","Cape Scott Park","V0N 3L0","Port","Fishing","fish, core fishing harbour","N/A","mooring buoys","Sea Otter Cove; Core; Fishing; Port; Small Craft Harbour; Mooring Buoys","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-128.35,50.6780556
"145","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","The Corporation of the District of Port Hardy","DFO Small Craft Harbour","Port Hardy",328,353,"Port Hardy, BC","Port Hardy, BC","","Port Hardy","","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pay phone, restroom facilities, storage, pumpout","wharf and floats, derrick, launch, breakwater and plane float","Port Hardy; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-127.491535,50.713674
"146","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Bull Harbour (Hope Island)",329,191,"Hope Island, BC","PO Box 339, Port Hardy, BC  V0N 2P0","","Hope Island","V0N 2P0","Port","Fishing ","fish, non-core fishing harbour","moorage","wharf, plane float","Bull Harbour; Hope Island; Fishing; Harbour; Small Craft Harbour","http://www.tlatlasikwala.com/visitors.html",-127.935826,50.9148953
"147","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Bella Bella (Martins Cove)",330,277,"Bella Bella, BC","Bella Bella, BC","","Bella Bella","V0T 1Z0","Port","Fishing; Recreational","fish, non-core fishing harbour","moorage, hydro, water, showers, phone, fuel sales","wharf and floats, fuel dock","Bella Bella;  Harbour; Fishing; Recreational; Marina; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=f&p=bc",-128.1421396,52.1714812
"148","Department of Fisheries and Oceans Small Craft Harbours","Ocean Falls Harbour Authority","DFO Small Craft Harbour","Ocean Falls",331,317,"50 Twin Lakes Dr, Ocean Falls, BC","50 Twin Lakes Dr, Ocean Falls, BC","50 Twin Lakes Dr","Ocean Falls","V0T 1P0","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, restroom facilities, pay phone, laundry","floats, breakwater, plane float","Ocean Falls; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-127.697356,52.3530379
"149","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Bella Coola Harbour Authority","DFO Small Craft Harbour","Bella Coola",332,265,"Bella Coola, BC","PO Box 751, Bella Coola, BC  V0T 1C0","","Bella Coola","V0T 1C0","Port","Fishing ","fish, core fishing harbour","moorage, water, fuel, garbage","wharf and floats, launch, plane float, derrick, breakwater","Bella Coola; Port; Fishing; Small Craft Harbour; Marina","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/ha-ap-eng.asp?p=bc#PA001",-126.793352,52.375134
"150","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Klemtu",333,499,"Klemtu, BC","Klemtu, BC","","Klemtu","","Port","Fishing ","fish, non-core fishing harbour","moorage","wharf and floats","Klemtu; Non-Core; Fishing; Harbour; Small Craft Harbour ","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-128.523635,52.590516
"151","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Douglas Inlet",334,481,"Sewell Inlet, BC","Sewell Inlet, BC","","Sewell Inlet","","Harbour","Fishing","fish, moorage","No services","mooring buoys","Douglas Inlet; Haida Gwaii; Non-core; Fishing; Harbour; Small Craft Harbours; Mooring buoys","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-132.1743118,52.9325225
"152","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Skidegate Landing",335,515,"Skidegate, BC","Skidegate, BC","","Skidegate","","Port","Fishing","fish, non-core fishing harbour","moorage","wharf and floats","Skidegate Landing; Non-Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-132.0094444,53.2463889
"153","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Queen Charlotte City Harbour Authority","DFO Small Craft Harbour","Queen Charlotte City",336,257,"Queen Charlotte, BC","PO Box 68, Queen Charlotte City, BC  V0T 1S0","","Queen Charlotte","V0T 1S0","Port","Fishing","fish, core fishing harbour","moorage, hydro, garbage, lights, pay phone, restroom facilities, laundry, water","wharf and floats, derrick, breakwater, plane float","Queen Charlotte City; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-132.073002,53.253009
"154","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Hartley Bay",337,437,"Hartley Bay, BC","Hartley Bay, BC","","Hartley Bay","","Port","Fishing","fish, non-core fishing harbour","moorage","wharf and floats","Hartley Bay; Non-Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-129.2511979,53.4246065
"155","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","The Corporation of the Village of Clements","DFO Small Craft Harbour","Port Clements",338,329,"Port Clements, BC","PO Box 198, Port Clements, BC  V0T 1R0","","Port Clements","V0T 1R0","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights","wharf and floats, launch, breakwater","Port Clements; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-132.1831862,53.6898681
"156","Department of Fisheries and Oceans Small Craft Harbours","Gitxala Harbour Authority ","DFO Small Craft Harbour","Kitkatla",339,217,"57 Ocean Dr, Kitkatla, BC","57 Ocean Dr, Kitkatla, BC","57 Ocean Dr","Kitkatla","V0V 1C0","Port","Fishing ","fish, non-core fishing harbour","moorage","wharf and floats","Kitkatla; Non-Core; Fishing; Harbour; Small Craft Harbour ","http://www.kindermorgan.com/pages/business/canada/transmountain.aspx",-130.4388889,53.795175
"157","Department of Fisheries and Oceans Small Craft Harbours","Haisla Harbour Authority ","DFO Small Craft Harbour","Kitamaat Village",340,433,"Kitimat, BC","PO Box 1101, Kitamaat Village, BC  V0T 2B0","","Kitimat","V0T 2B0","Port","Fishing","fish, core fishing harbour","moorage, hydro, lights, parking","wharf and floats, breakwater, launch, derrick","Kitamaat Village; Core; Fishing; Port; Small Craft Harbour","http://www.kindermorgan.com/pages/business/canada/transmountain.aspx",-128.651724,53.966377
"158","Department of Fisheries and Oceans Small Craft Harbours","Oona River Community Association","DFO Small Craft Harbour","Oona River - Mooring Buoys",341,465,"1160 Riverside Dr, Oona River, BC","1160 Riverside Dr, Oona River, BC","1160 Riverside Dr","Oona River","V0V 1E0","Port","Fishing","fish, core fishing harbour","moorage","mooring buoys","Oona River; Mooring Buoys; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-130.237475,53.941118
"159","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Oona River Community Association","DFO Small Craft Harbour","Oona River",342,355,"1160 Riverside Dr, Oona River, BC","1160 Riverside Dr, Oona River, BC","1160 Riverside Dr","Oona River","V0V 1E0","Port","Fishing","fish, core fishing harbour","moorage, hydro, lights, water, pay phone","wharf and floats, derrick, breakwater, plane float","Oona River; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-130.2484685,53.9423035
"160","City of Kitimat; Port of Kitimat; BC Ports Handbook 2014","Private port with no Harbour Master/Authority","Currently not utilized ","Former Eurocan Paper Export Terminal",343,489,"Kitimat, BC","Facility located on the east side of the harbour","","Kitimat","","Terminal","Not in use","facility not in use (2016), previously used for paper products","73,200 sq m warehouse storage","2 berths, length 137 m, southern berth 14 m depth; northern berth 10.9 m depth, 90 m width, mooring buoys at each berth","Terminal; Kitimat; Douglas Channel ","http://www.kitimat.ca/EN/index.html",-128.6807821,53.9949839
"161","City of Kitimat; Port of Kitimat; BC Ports Handbook 2014","Private port with no Harbour Master/Authority","Shell Canada Energy","Shell (former Methanex) Terminal",344,269,"Kitimat, BC","Kitimat, BC","","Kitimat","V8C 2G7","Terminal","Energy","methanol, condensate","No on-land storage. Berth has capacity to accommodate vessels up to 177 m length.","length 430 m, depth 12 m, width: 90 m; loading platform with pads and mooring dolphins with 78 m between breasting pads and 300 m between dolphins","Kitimat; North Coast; Natural Gas; Terminal; Private Port; Douglas Channel","http://www.kitimat.ca/",-128.6874362,53.9952724
"162","Alcan Primary Metal; Rio Tinto BC Operations; BC Ports Handbook 2014","Private port with no Port Authority","Alcan Primary Metal","Alcan Terminal",345,255,"Kitimat, BC","1 Smeltersite Rd, PO Box 1800, Kitimat, BC  V8C 2H2","","Kitimat","V8C 2H2","Terminal","Bulk","bulk alumina, liquid pitch, cock and fluoride, aluminum products","Open Storage Only","Berth 1: length 229.5 m, depth 10.67 m (At 0 tide), mooring buoys south of terminal for vessels up to 175 m length; Berth 2 for Kamno Passenger Ferry","Alcan; Terminal; Kitimat; Aluminum; Douglas Channel; Ore","http://www.riotintobcoperations.com/about-us/",-128.6931671,53.9978172
"163","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Hunts Inlet (Porcher Island)",346,523,"Porcher Island, BC","Porcher Island, BC","","Porcher Island","","Port","Fishing","fish, non-core fishing harbour","moorage","dock and floats","Hunts Inlet; Porcher Island; Non-Core; Fishing; Harbour; Small Craft Harbour ","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-130.4445475,54.0684545
"164","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Delkatla Slough Harbour Authority ","DFO Small Craft Harbour","Masset (Delkatla Slough)",347,405,"Masset, BC","PO Box 35, Masset, BC  V0T 1M0","","Masset","V0T 1M0","Port","Fishing ","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking","wharf and floats, derrick","Masset; Delkatla Slough; Pender Harbour; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-132.140376,54.009016
"165","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Wiah Point",348,395,"Cape Knox, BC","Cape Knox, BC","","Cape Knox","","Port","Fishing ","fish, non-core fishing harbour","moorage","floats","Wiah Point; Non-core; Fishing; Small Craft Harbours","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-132.309355,54.1117612
"166","Port Edward Harbour Authority; Ridley Terminals Inc; BC Ports Handbook 2014","Port Edward Harbour Authority","Government of Canada","Ridley Terminals Inc (Ridley Island)",349,357,"Prince Rupert, BC","PO Bag 8000, Prince Rupert, BC  V8J 4H3","","Prince Rupert","V8J 4H3","Terminal","Breakbulk and Bulk ","metallurgical and thermal coal, petroleum coke, wood pellets","Annual capacity is 12 million tonnes; storage for up to 1.2 million tonnes on site","length 420 m, berthing dolphins:150 m ; mooring dolphins 370 m, depth 22.8 m","Ridley Island; Terminal; Coal; Petroleum; Wood Products; North Coast","http://www.rti.ca/",-130.3347349,54.2254988
"167","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Port Edward Harbour Authority ","DFO Small Craft Harbour","Port Edward",350,223,"Port Edward, BC","PO Box 1820, 200 Bayview Dr, Port Edward, BC  V0V 1G0","","Port Edward","V0V 1G0","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pay phone, restroom facilities, laundry, storage, security","wharf and floats, derrick, breakwater","Port Edward; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-130.2962972,54.2278861
"168","Prince Rupert Port Authority; BC Ports Handbook 2014","Prince Rupert Port Authority","Prince Rupert Grain Ltd ","Prince Rupert  Grain Ltd",351,389,"Prince Rupert, BC","PO Box 877, Ridley Island, Prince Rupert, BC  V8J 3Y1","","Prince Rupert","V8J 3Y1","Terminal","Bulk ","wheat, barley, canola and other grains","3 tower mounted shiploads; 8 shipping bins at 750 tonnes, 2 conveyors operating at 2000 tonnes/hr ","Berthing dolphins 118 m; mooring dolphins 240 m, depth 13.7 m","Grain; Terminal; Prince Rupert; North Coast","http://www.rupertport.com/shipping/terminals/prg",-130.3361232,54.2318938
"169","DP World Prince Rupert; Prince Rupert Port Authority; BC Ports Handbook 2014","Prince Rupert Port Authority","Maher Terminals Holding Corp.","Fairview Container Terminal",352,243,"3100 Scott Rd, Prince Rupert, BC","3100 Scott Rd, Prince Rupert, BC","3100 Scott Rd","Prince Rupert","V8J 3P4","Terminal","Container","containerized cargo","58 acre site with 4 high 9430 TEU capacity. Terminal anual capacity 500,000 TEUs","3 berths with a total length of 642 m, depth 16 m; rail access and capacity","Fairview; Container; Terminal; Prince Rupert; North Coast","https://www.dpworld.ca/prince-rupert-fairview-container-terminal/",-130.3606616,54.2867566
"170","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","The Harbour Authority of Dodge Cove","DFO Small Craft Harbour","Prince Rupert (Dodge Cove)",353,441,"Digby Island, BC","PO Box 742, Prince Rupert, BC  V8J 3S1","","Digby Island","V8J 3S1","Port","Fishing","fish, core fishing harbour","moorage, hydro, lights","wharf and floats, derrick","Prince Rupert; Dodge Cove; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-130.3845917,54.2885
"171","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Port Edward Harbour Authority","DFO Small Craft Harbour","Prince Rupert (Fairview Bay)",354,237,"Prince Rupert, BC","PO Box 1820, 200 Bayview Dr, Port Edward, BC  V0V 1G0","","Prince Rupert","V0V 1G0","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, pay phone, restroom facilities, parking, security","wharf and floats, derrick, breakwater","Prince Rupert; Fariview Bay; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-130.3547026,54.2924695
"172","Prince Rupert Port Authority; BC Ports Handbook 2014","Prince Rupert Port Authority","Prince Rupert Port Authority","Westview Terminal",355,289,"25 Waterfront St, Prince Rupert, BC","25 Waterfront St, Prince Rupert, BC","25 Waterfront St","Prince Rupert","V8J 3P6","Terminal","Fishing","fish unloading / remainder available for lease","N/A","length 309 m, depth 12.2 m","Westview; Prince Rupert; North Coast; Fish; Terminal","http://www.rupertport.com/",-130.3375002,54.310239
"173","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Henslung Cove",356,365,"Langara Island, BC","Langara Island, BC","","Langara Island","","Harbour","Fishing ","fish, moorage","moorage","mooring buoys","Henslung Cove; Non-Core; Fishing; Harbour; Small Craft Harbour; Mooring buoys","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-133.0016848,54.1909002
"174","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Port Edward Harbour Authority","DFO Small Craft Harbour","Prince Rupert (Cow Bay)",357,281,"Prince Rupert, BC","PO Box 1820, 200 Bayview Dr, Port Edward, BC  V0V 1G0","","Prince Rupert","V0V 1G0","Port","Fishing","fish, core fishing harbour","moorage, lights, garbage","wharf and floats","Prince Rupert; Cow Bay; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-130.3232565,54.3180725
"175","Prince Rupert Port Authority; BC Ports Handbook 2014","Prince Rupert Port Authority","Prince Rupert Port Authority","Atlin Cruise Terminal",358,439,"Prince Rupert, BC","Prince Rupert, BC","","Prince Rupert","V8J 1A2","Terminal","Passenger Cruise ","passengers","passenger terminal, passenger services ( shopping, restaurants), customs","Berth length 300 m, Maximum length of vessel 100 m, min 5 m depth","Atlin; Cruise; Passenger; Terminal ","http://legacy.rupertport.com/facilities/atlin",-130.3224751,54.3182671
"176","Prince Rupert Port Authority; BC Ports Handbook 2014","Prince Rupert Port Authority","Prince Rupert Port Authority","Northland Cruise Terminal",359,337,"Prince Rupert, BC","PO Box 246, Prince Rupert, BC  V8J 3P6","","Prince Rupert","V8J 3P6","Terminal","Cruiseship","passengers","N/A","length 330 m, depth 15 m, max ship length 330 m","Northland; Cruise; Terminal; Prince Rupert; North Coast; Passenger","http://www.rupertport.com/operations/facilities",-130.3218374,54.3185273
"177","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Port Edward Harbour Authority","DFO Small Craft Harbour","Prince Rupert (Rushbrook)",360,319,"Prince Rupert, BC","PO Box 1820, 200 Bayview Dr, Port Edward, BC  V0V 1G0","","Prince Rupert","V0V 1G0","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, pay phone, restroom facilities, parking, security","wharf and floats, derrick, breakwater, launch","Prince Rupert; Rushbrook; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-130.305185,54.325062
"178","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Port Simpson",361,221,"Lax Kwalaams, BC","Lax Kwalaams, BC","","Lax Kwalaams","","Port","Fishing ","fish, core fishing harbour","moorage","wharf and floats","Port Simpson; Port; Fishing; Non-Core; Small Craft Harbour ","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-130.4312139,54.5610083
"179","District of Stewart; BC Ports Handbook 2014; Department of Fisheries and Ocean Harbour Authorities","Steward Harbour Authority","Al Soucle and Jack Elsworth","Stewart Bulk Terminal",362,477,"Stewart, BC","100 - 5th, PO Box 278, Stewart, BC  V1J 6N2","","Stewart","V1J 6N2","Terminal","Bulk","gold and silver ore","N/A","length 244 m, depth 12.2 m with mooring buoys at either end of wharf","Stewart; Bulk; Terminal; North Coast; Portland Canal","http://districtofstewart.com/business-resources/port-of-stewart/",-130.0071901,55.9149837
"180","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Stewart Harbour Authority","DFO Small Craft Harbour","Stewart",363,335,"Stewart, BC","PO Box 544, Stewart, BC  V0T 1W0","","Stewart","V0T 1W0","Port","Fishing","fish, core fishing harbour","moorage, hydro, water","floats, breakwater, plane float","Stewart; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-130.008398,55.920462
"181","CHS CHARTS","Nanaimo Port Authority","Seaspan Coastal Intermodal Company","Seaspan Downtown Nanaimo Terminal",364,467,"Nanaimo, BC","Nanaimo, BC","","Nanaimo","","Terminal","Ferry","truck, trailer, railcar ferry terminal","","","Seaspan; Nanaimo; Terminal; Trucks; Trailers; Railcars;","http://www.seaspan.com/seaspan-ferries",-123.9298042,49.1643084
"182","Seaspan Ferries Corporation","","","Seaspan Swartz Bay Terminal",365,361,"2208 Dolphin Road, North Saanich, BC","2208 Dolphin Road, North Saanich, BC","2208 Dolphin Road","North Saanich","","Terminal","Ferry","truck, trailer, ferry terminal","","","Seaspan; Swartz bay; Terminal; Trucks; Trailers;","http://www.seaspan.com/seaspan-ferries-terminals",-123.4083256,48.6875879
"183","Seaspan Ferries","Port Metro Vancouver","","Seaspan Surrey Terminal",366,313,"10601 Timberland Road, Surrey, BC","10601 Timberland Road, Surrey, BC","10601 Timberland Road","Surrey","","Terminal","Ferry","truck, trailer, ferry terminal","","","Seaspan; Surrey; Terminal; Trucks; Trailers;","http://www.seaspan.com/seaspan-ferries-terminals",-122.9052835,49.1931723
"184","Seaspan Ferries","Nanaimo Port Authority","","Seaspan Duke Point Terminal",367,359,"2-850 Jackson Road, Nanaimo, BC","2-850 Jackson Road, Nanaimo, BC","2-850 Jackson Road","Nanaimo","","Terminal","Ferry","truck, trailer, ferry terminal","","","Seaspan; Surrey; Terminal; Trucks; Trailers;","http://www.seaspan.com/seaspan-ferries-terminals",-123.874008,49.1444241
